System On Chip (SOC);System On Chip (SoC);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Target;Constructor;Name;Gravure;Modem;Peak download speed;Peak upload speed;Bluetooth;NFC;USB;Camera support max.;Video capture max.;Video playback max.;Display max.;CPU;CPU cores number;CPU clock speed max.;CPU architecture;GPU;GPU API support
smartphone;Qualcomm;Snapdragon 820;?;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;4.1;X;2.0 , 3.0;28 MP;4K Ultra HD;4K Ultra HD;2160 x 3840 px , 4K;Qualcomm Kryo;4;2.2 GHz;64 bits;Qualcomm Adreno 530;OpenGL ES , OpenCL , Vulkan
smartphone;Qualcomm;Snapdragon 821;?;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;4.1;X;2.0 , 3.0;28 MP;4K Ultra HD;4K Ultra HD;2160 x 3840 px , 4K;Qualcomm Kryo;4;2.4 GHz;64 bits;Qualcomm Adreno 530;OpenGL ES , OpenCL , Vulkan
smartphone / tablet;Qualcomm;Snapdragon 835;?;Qualcomm Snapdragon X16 LTE;1 Gbps;150 Mbps;5.0;X;3.1;32 MP;4K Ultra HD;4K Ultra HD;2160 x 3840 px , 4K;Qualcomm Kryo;8;2.45 GHz;64 bits;Qualcomm Adreno 540;OpenGL ES , OpenCL , Vulkan , Tango, Daydream
smartphone / tablet;Qualcomm;Snapdragon 653;?;Qualcomm Snapdragon X9 LTE;300 Mbps;150 Mbps;4.1 , BLE;X;2.0 , 3.0;21 MP;4K Ultra HD;4K Ultra HD;1600 x 2560 px , Quad HD;ARM Cortex A72 , ARM Cortex 153;4 + 4;1.95 GHz;64 bits;Qualcomm Adreno 510;?
smartphone / tablet;Qualcomm;Snapdragon 660;14 nm;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;5.0;X;C , 3.1;24 MP;4K Ultra HD;4K Ultra HD;1600 x 2560 px , Quad HD;Qualcomm Kryo;4 + 4;2.2 GHz , 1.8 GHz;64 bits;Qualcomm Adreno 512;?
smartphone / tablet;Qualcomm;Snapdragon 625;?;Qualcomm Snapdragon X9 LTE;300 Mbps;150 Mbps;4.1 , BLE;X;3.0;24 MP;4K Ultra HD;4K Ultra HD;1200 x 1900 , Full HD;ARM Cortex 53;4 + 4;2.0 GHz;64 bits;Qualcomm Adreno 506;Open GL ES
smartphone / tablet;Qualcomm;Snapdragon 630;14 nm;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;5.0;X;C , 3.1;?;4K Ultra HD;4K Ultra HD;1200 x 1900 , Full HD;ARM Cortex 53;4 + 4;2.2 GHz , 1.8 GHz;64 bits;Qualcomm Adreno 508;
smartphone / tablet;Samsung;Exynos 8 Octa (8890);10 nm;?;600 Mbps;150 Mbps;?;?;?;24 MP;4K Ultra HD;4K Ultra HD;4096 x 2160 px , UHD;Samsung custom core , ARM Cortex 53;8;2.3 GHz;64 bits;ARM Mali T880;?
smartphone / tablet;Samsung;Exynos 9 Series 8895;10 nm;?;1 Gbps;150 Mbps;?;?;?;28 MP;4K Ultra HD;4K Ultra HD;?;Samsung custom core , ARM Cortex-A53;4 + 4;?;64 bits;ARM Mali G71;
iPhone 7;Apple;A10 Fusion;?;?;?;?;4.1 , BLE;?;?;12 MP;4K;4K;?;Apple Twister;4;2.2 GHz;64 bits;PowerVR Series7XT;?
smartphone;MediaTek;Helio P10;?;?;?;?;?;?;?;21 MP;?;?;1200 x 1900 , Full HD;ARM Cortex A53;8;2 GHz;64 bits;ARM Mali T860;?
smartphone;MediaTek;Helio P35;?;?;?;?;?;?;?;?;?;?;1080p;ARM Cortex-A73 , ARM Cortex-A52 , ARM Cortex-A35;4 + 4 + 2;?;?;ARM Mali G71;?
smartphone;MediaTek;Helio X30;10 nm;?;600 Mbps;100 Mbps;?;?;?;?;?;4K;?;ARM Cortex A73 , ARM Cortex A53;2 + 8;2.5 GHz , 1.9 GHz – 2.2 GHz;?;?;?
smartphone;Huawei;Kirin 950;?;?;600 Mbps;150 Mbps;?;?;?;?;?;?;?;ARM Cortex-A73 , ARM Cortex A53;4 + 4;?;?;ARM Mali T880;Vulkan , OpenGL ES , Direct X 12
smartphone;Spreadtrum;SC9861G-IA;?;?;300 Mbps;100 Mbps;?;?;?;26 MP;?;?;1600 x 2560 px , Quad HD;?;8;2 GHz;?;?;?
smartphone;Xiaomi;Surge S1;?;?;?;?;?;?;?;?;?;?;?;ARM Cortex A53 , ARM Cortex A53;4 + 4;2.2 GHz , 1.4 GHz;?;ARM Mali T860;?
